"","X","date","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District.of.Columbia","Florida","Georgia","Guam","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New.Hampshire","New.Jersey","New.Mexico","New.York","North.Carolina","North.Dakota","Northern.Mariana.Islands","Ohio","Oklahoma","Oregon","Pennsylvania","Puerto.Rico","Rhode.Island","South.Carolina","South.Dakota","Tennessee","Texas","Utah","Vermont","Virgin.Islands","Virginia","Washington","West.Virginia","Wisconsin","Wyoming"
"153",153,"1",433,10,2101,522,5813,165,27,45,38,2926,1212,0,2,242,461,213,197,318,154,462,14,299,149,271,307,1265,181,17,147,339,14,273,129,555,986,25,0,729,218,170,642,39,122,1008,29,536,4760,468,4,0,470,646,28,251,33
"154",154,"1",643,36,3630,595,6419,188,117,27,36,3286,1872,3,3,145,667,258,253,83,250,1356,23,400,229,229,242,611,415,9,134,483,13,319,144,598,986,7,0,590,295,202,617,121,74,912,27,763,5080,419,1,2,528,335,22,338,24
"155",155,"1",967,21,1810,697,4850,262,14,42,34,5511,1713,6,14,238,743,293,427,451,199,882,23,332,172,338,297,526,330,23,129,402,27,158,152,575,1437,44,0,632,481,145,492,135,73,1284,66,804,6584,461,20,2,511,622,36,465,28
"156",156,"1",1142,45,3090,687,5524,324,81,91,31,5004,1506,14,15,219,910,519,487,97,271,938,53,463,226,448,360,1092,598,37,126,451,40,2158,202,738,1277,32,0,892,438,143,455,57,34,1125,60,873,5473,629,7,1,432,598,64,552,44
"157",157,"1",977,30,3379,678,5614,317,65,37,26,8942,1746,3,14,280,877,490,444,522,240,1354,32,307,233,314,493,550,491,26,178,448,33,388,216,804,1717,28,0,987,396,403,720,45,21,1313,56,1107,5799,674,7,0,624,491,36,514,42
"158",158,"1",900,26,3476,570,4426,226,147,74,31,9585,1524,0,6,170,724,438,375,38,304,0,52,328,373,329,417,465,342,23,251,1041,46,289,211,697,1452,37,0,817,299,102,450,144,0,1604,91,1011,6057,517,2,0,677,542,52,517,24
"159",159,"1",358,33,3809,508,5502,284,97,135,32,8530,1734,0,27,224,581,364,317,249,143,1467,37,328,224,240,516,368,345,11,125,787,30,309,190,624,1469,37,0,854,302,238,385,123,0,1381,55,132,4227,420,2,0,487,310,50,481,25
"160",160,"1",1734,25,641,439,7040,205,59,150,44,5266,2016,7,1,227,768,299,354,552,177,840,28,477,101,314,312,669,494,56,164,784,13,90,173,391,1514,44,0,737,228,161,768,61,103,1324,35,1443,5890,663,6,3,451,695,38,387,33
"161",161,"1",870,47,4797,520,8158,203,152,98,35,6093,2464,4,17,354,776,370,278,61,259,1014,34,315,114,494,442,680,527,48,130,611,22,395,165,458,1372,37,0,743,585,186,673,215,49,1755,48,1427,7947,546,0,6,594,505,35,620,37
"162",162,"1",917,42,4753,420,7611,314,58,36,38,6563,2309,12,8,255,880,376,466,513,198,2083,41,350,261,429,415,652,320,49,131,569,20,261,129,628,1751,39,0,1076,355,324,638,72,40,1520,62,1545,8123,500,2,2,416,717,75,584,27
"163",163,"1",1149,50,3343,878,8434,323,74,221,25,10109,2886,9,20,309,866,437,641,84,256,1383,34,513,195,574,494,870,490,67,151,720,20,430,244,872,1697,42,0,1301,427,325,839,71,88,1782,67,1816,7434,602,17,6,530,663,74,569,36
"164",164,"1",1754,60,4399,547,8100,272,71,192,45,9488,2604,6,28,346,886,546,372,789,285,1728,45,407,290,453,414,914,535,45,184,1007,35,386,256,919,1939,65,1,1091,526,299,715,75,50,1831,85,1706,7789,604,9,13,657,496,73,689,32
"165",165,"1",997,55,2722,587,8878,293,0,73,12,11458,2513,2,24,397,858,529,536,150,54,0,24,302,210,396,0,990,441,39,166,793,14,291,287,725,1284,57,0,926,580,294,504,104,0,1854,50,1350,5658,647,2,1,715,382,79,678,24
"166",166,"1",1091,32,3510,605,6411,200,0,132,35,10059,1897,0,24,368,579,575,445,124,3,1937,18,233,136,325,512,226,273,45,111,847,26,369,193,536,1361,37,0,968,283,300,481,129,0,1461,35,1133,4430,288,11,0,635,669,130,507,28
"167",167,"1",925,30,3416,439,6282,216,259,165,33,6336,1526,13,7,423,698,357,152,793,752,1101,8,540,163,376,433,357,516,37,115,412,17,209,251,516,1837,33,0,805,434,176,784,669,0,1533,42,1144,9213,648,2,4,353,1049,107,568,41
"168",168,"1",907,22,3617,259,9897,401,57,121,54,7347,2692,2,41,360,682,299,389,75,356,1936,17,489,201,608,564,957,716,78,153,918,18,267,220,590,1255,45,0,948,858,241,799,129,163,972,58,1134,9814,550,3,6,627,546,63,516,36
"169",169,"1",1177,49,3551,734,8538,468,75,48,73,9989,2831,4,23,422,945,450,563,650,384,1888,20,469,264,649,457,674,777,44,232,530,20,252,290,691,1473,72,0,1277,673,218,831,31,50,1557,79,2113,9952,718,2,22,632,598,202,692,29
"170",170,"1",2212,49,4073,806,7212,419,101,69,37,8935,2155,2,36,594,1133,520,600,224,372,1843,26,582,295,587,574,703,958,95,221,677,21,231,234,588,1903,99,0,1150,603,375,817,117,39,1782,94,1775,10909,711,16,9,610,708,119,832,34
"171",171,"1",1334,58,4164,751,7989,606,78,121,64,11433,4904,1,27,475,1218,738,916,768,500,2642,13,466,213,624,604,1031,759,127,176,906,18,358,298,790,2173,84,0,1525,596,254,940,275,69,1728,65,1693,9923,820,5,14,940,721,157,1056,16
"172",172,"1",1439,77,3044,1061,8525,423,0,91,58,10360,2977,2,42,511,1124,791,463,184,454,2167,21,557,288,628,804,797,589,84,201,951,33,331,224,727,2259,89,2,1358,687,350,678,229,0,2280,53,1757,8332,619,6,14,846,236,163,681,49
"173",173,"1",1640,116,2488,503,7646,300,0,61,46,15300,1815,0,20,387,825,534,715,312,232,1319,19,645,199,437,710,868,524,81,179,833,30,339,255,679,1835,91,0,1378,456,319,542,288,0,1949,45,1125,6531,481,13,25,888,855,98,806,23
